,names,datetime,tmpc,relh,drct,sped,vsby
0,Faisalabad,2016-10-30 12:00:00,27.0,44.8,50.0,4.6,0.93
1,Faisalabad,2016-11-06 01:00:00,15.0,87.83,0.0,0.0,0.31
2,Faisalabad,2016-12-09 07:00:00,16.0,82.37,130.0,4.6,0.5
3,Faisalabad,2016-12-10 16:00:00,14.0,93.69,270.0,6.9,0.06
4,Faisalabad,2016-12-12 07:00:00,15.0,87.83,0.0,0.0,0.31
5,Faisalabad,2016-12-12 14:00:00,15.0,93.74,0.0,0.0,0.09
6,Faisalabad,2016-12-14 02:00:00,8.0,100.0,0.0,0.0,0.31
7,Faisalabad,2016-12-24 05:00:00,16.0,77.14,0.0,0.0,0.37
8,Faisalabad,2016-12-24 10:00:00,21.0,56.38,360.0,6.9,0.93
9,Faisalabad,2017-01-02 06:00:00,12.0,100.0,0.0,0.0,0.37
10,Faisalabad,2017-01-03 16:00:00,14.0,100.0,0.0,0.0,0.06
11,Faisalabad,2017-01-05 07:00:00,14.0,100.0,0.0,0.0,0.19
12,Faisalabad,2017-01-16 21:00:00,7.0,100.0,0.0,0.0,0.12
13,Faisalabad,2017-01-17 05:00:00,8.0,100.0,270.0,2.3,0.19
14,Faisalabad,2017-01-17 06:00:00,11.0,93.55,310.0,4.6,0.93
15,Faisalabad,2017-01-17 07:00:00,13.0,76.66,270.0,4.6,1.86
16,Faisalabad,2017-01-19 04:00:00,7.0,87.09,0.0,0.0,0.5
17,Faisalabad,2017-01-19 06:00:00,11.0,81.74,310.0,4.6,1.86
18,Faisalabad,2017-01-27 04:00:00,10.0,100.0,360.0,4.6,0.62
19,Faisalabad,2017-01-28 05:00:00,9.0,100.0,360.0,2.3,0.25
20,Faisalabad,2017-01-30 02:00:00,10.0,93.5,0.0,0.0,0.19
21,Faisalabad,2017-02-04 10:00:00,19.0,72.74,130.0,6.9,1.55
22,Faisalabad,2017-03-02 05:00:00,21.0,52.77,90.0,4.6,1.86
23,Faisalabad,2017-03-08 04:00:00,16.0,77.14,50.0,2.3,1.86
24,Faisalabad,2017-03-20 05:00:00,25.0,53.8,270.0,4.6,1.86
25,Faisalabad,2017-03-31 02:00:00,24.0,69.14,0.0,0.0,1.55
26,Faisalabad,2017-04-04 21:00:00,24.0,60.9,310.0,9.2,2.49
27,Faisalabad,2017-04-22 03:00:00,28.0,54.55,130.0,16.1,1.24
28,Karachi,2016-10-20 01:00:00,25.0,83.44,245.0,6.325,2.8
29,Karachi,2016-10-20 02:00:00,25.5,83.495,245.0,8.05,2.49
30,Karachi,2016-10-20 03:00:00,26.0,78.62,230.0,11.5,2.49
31,Karachi,2016-10-20 04:00:00,27.5,72.005,250.0,14.950000000000001,2.8
32,Karachi,2016-10-20 05:00:00,29.0,65.95,240.0,11.5,3.11
33,Karachi,2016-10-20 06:00:00,30.0,60.4,210.0,11.5,3.73
34,Karachi,2016-10-20 07:00:00,31.0,55.29,227.5,5.75,3.73
35,Karachi,2016-10-20 08:00:00,31.5,55.41,225.0,11.5,4.04
36,Karachi,2016-10-20 09:00:00,31.0,55.29,250.0,6.9,4.35
37,Karachi,2016-10-20 10:00:00,31.0,55.29,240.0,9.2,4.35
38,Karachi,2016-10-20 11:00:00,30.5,60.515,210.0,9.2,4.35
39,Karachi,2016-10-20 12:00:00,29.0,65.95,220.0,8.625,4.35
40,Karachi,2016-10-20 13:00:00,28.0,69.9,250.0,6.9,4.35
41,Karachi,2016-10-20 15:00:00,27.0,78.76,225.0,6.325,3.73
42,Karachi,2016-10-20 16:00:00,27.0,78.76,230.0,8.05,3.73
43,Karachi,2016-10-20 17:00:00,26.0,78.62,220.0,5.75,3.73
44,Karachi,2016-10-20 18:00:00,26.0,78.62,230.0,5.175,3.73
45,Karachi,2016-10-20 19:00:00,26.0,78.62,240.0,7.4750000000000005,3.73
46,Karachi,2016-10-20 20:00:00,26.0,78.62,260.0,9.2,3.73
47,Karachi,2016-10-20 21:00:00,25.5,81.03,130.0,2.3,3.73
48,Karachi,2016-10-20 22:00:00,24.5,86.015,0.0,0.0,3.73
49,Karachi,2016-10-20 23:00:00,24.0,88.59,115.0,2.3,3.73
50,Karachi,2016-10-21 00:00:00,24.0,88.59,220.0,3.45,3.73
51,Karachi,2016-10-21 01:00:00,24.0,83.32,0.0,0.0,3.42
52,Karachi,2016-10-21 03:00:00,26.0,78.62,250.0,6.9,3.11
53,Karachi,2016-10-21 04:00:00,27.5,69.925,225.0,5.175000000000001,3.11
